dia_juliano,mes,dia,q95,q90,q85,q80,q75,q70,q65,q60,q55,q50
86,3,27,132.13,154.15,173.37,190.24,210.38,230.97,248.96,273.43,304.76,337.5
87,3,28,129.54,151.44,170.59,187.41,206.61,227.93,245.94,270.34,301.57,333.56
88,3,29,127.64,151.02,170.59,186.78,201.69,224.41,242.93,267.26,295.26,329.0
89,3,30,127.64,148.75,165.74,181.76,199.05,219.15,239.93,264.19,288.98,323.88
90,3,31,125.05,148.75,165.07,181.76,195.95,216.22,236.93,260.42,285.86,318.78
91,4,1,125.05,146.07,162.32,178.95,193.09,213.19,233.95,255.03,279.62,313.0
92,4,2,122.47,143.4,162.32,176.15,192.75,210.04,230.97,251.99,276.52,306.99
93,4,3,122.47,143.4,159.58,175.89,190.24,207.21,228.0,245.94,272.64,301.57
94,4,4,122.3,140.75,157.68,173.37,187.93,204.58,225.04,242.93,270.34,298.41
95,4,5,119.91,138.45,156.86,170.59,187.41,204.58,222.94,242.38,265.55,294.44
96,4,6,119.68,138.1,155.63,170.59,187.41,203.1,222.09,239.93,261.13,288.98
97,4,7,118.1,135.47,154.15,170.59,184.96,201.69,219.15,236.93,258.08,282.74
98,4,8,117.36,132.84,154.15,170.28,184.58,199.75,216.22,233.95,251.99,279.34
99,4,9,117.36,132.22,151.44,167.82,181.99,198.82,213.48,230.97,248.96,276.01
100,4,10,117.36,130.23,151.44,167.72,181.76,195.95,213.29,229.41,245.94,270.34
101,4,11,114.83,127.64,148.81,165.74,178.95,193.09,210.38,228.0,242.93,267.26
102,4,12,112.3,127.64,148.75,165.07,178.95,193.05,209.65,225.04,242.0,262.61
103,4,13,112.3,127.64,148.3,165.07,176.15,190.24,207.47,223.77,239.93,261.13
104,4,14,109.79,125.6,146.07,162.32,176.15,190.24,204.58,222.09,236.93,258.08
105,4,15,109.79,125.05,143.4,162.32,176.15,189.87,204.58,219.15,233.95,255.03
106,4,16,107.3,125.05,143.4,159.58,173.37,187.41,201.69,216.22,233.17,251.99
107,4,17,106.51,124.79,141.67,158.73,171.07,186.09,201.69,216.22,230.97,249.29
108,4,18,104.81,122.47,140.75,156.86,170.59,183.53,198.82,213.29,228.02,248.96
109,4,19,104.81,122.47,138.1,155.51,169.48,181.76,196.36,212.94,227.3,245.94
110,4,20,102.34,122.47,136.39,154.15,167.82,181.76,195.95,210.38,225.04,245.94
111,4,21,102.34,119.91,135.31,152.27,165.07,178.95,193.09,207.47,225.04,242.93
112,4,22,99.88,119.87,132.84,151.44,165.07,178.95,190.65,207.47,222.09,242.65
113,4,23,97.44,119.0,132.17,150.76,165.07,176.15,190.24,204.58,220.46,239.93
114,4,24,95.5,117.36,130.23,148.75,162.32,176.15,187.72,202.54,219.15,236.93
115,4,25,95.01,117.36,130.23,148.01,162.32,173.37,187.41,201.69,216.22,233.95
116,4,26,92.6,114.83,127.64,146.07,160.89,173.37,184.58,199.75,216.22,233.95
117,4,27,92.6,114.83,127.64,143.79,159.58,170.59,184.58,198.82,213.29,230.97
118,4,28,90.2,112.3,127.64,143.4,156.86,170.56,181.76,198.82,213.29,230.97
119,4,29,87.81,112.3,125.05,140.75,156.86,167.82,181.76,196.56,213.29,229.65
120,4,30,87.81,112.3,125.05,138.49,154.15,165.74,178.95,195.95,210.59,228.0
121,5,1,85.44,109.79,123.4,138.1,151.44,165.07,178.95,195.95,210.38,228.0
122,5,2,85.44,109.79,122.47,135.47,151.31,165.07,176.15,193.09,210.38,226.11
123,5,3,85.44,109.79,122.47,135.31,148.75,164.11,176.15,193.09,209.67,226.11
124,5,4,85.44,109.54,122.14,132.84,148.75,162.32,176.15,191.88,207.47,225.04
125,5,5,85.44,107.3,119.91,132.84,148.54,162.32,175.93,190.24,207.47,225.04
126,5,6,83.08,107.3,119.91,132.21,146.07,159.58,173.37,190.24,207.47,225.04
127,5,7,83.08,107.3,119.91,130.23,144.88,159.58,173.37,187.41,207.47,225.04
128,5,8,83.08,107.3,119.77,130.23,143.46,157.11,173.37,187.41,207.43,225.04
129,5,9,83.08,105.87,119.5,130.23,143.4,156.86,170.59,187.41,206.61,225.04
130,5,10,83.08,104.81,119.5,130.23,143.4,156.86,170.59,187.41,207.47,226.11
131,5,11,83.08,104.81,119.5,130.23,143.4,156.86,170.59,187.41,207.47,228.0
132,5,12,83.08,104.81,119.0,128.96,141.67,154.76,170.59,187.41,207.47,228.0
133,5,13,83.08,102.61,117.36,127.64,140.75,154.15,170.56,187.41,207.47,228.0
134,5,14,83.08,102.34,117.36,127.64,140.75,154.15,170.56,187.41,207.47,228.7
135,5,15,83.08,102.34,117.36,127.64,138.49,154.15,170.56,187.41,206.69,229.9
136,5,16,83.08,102.34,117.36,127.64,138.1,154.15,169.12,187.41,204.87,230.85
137,5,17,83.08,102.34,116.35,127.64,138.1,151.44,167.82,186.09,204.58,230.97
138,5,18,83.08,102.34,114.83,126.8,138.1,151.44,167.82,184.58,205.78,233.95
139,5,19,83.08,101.9,114.83,125.8,136.83,151.44,167.65,184.58,207.47,233.95
140,5,20,83.08,99.88,114.83,125.05,135.47,151.44,165.74,184.58,207.47,233.95
141,5,21,81.21,99.88,112.9,125.05,135.47,151.26,165.07,184.58,207.47,233.95
142,5,22,81.33,99.41,112.3,125.05,135.47,150.93,165.07,184.58,207.47,233.95
143,5,23,81.8,99.26,112.3,122.71,135.39,148.88,165.07,184.58,207.47,233.95
